 Rgeom_[µm]  Q(0.3800nm)  Q(0.4400nm)  Q(0.6750nm)  Q(0.8700nm)  Q(1.0200nm)  
  1.2544     0.1148E-06   0.1253E-06   0.1440E-06   0.9500E-07   0.1031E-06
  1.2899     0.1165E-06   0.1331E-06   0.1469E-06   0.1035E-06   0.9432E-07
  1.3217     0.1077E-06   0.1422E-06   0.1559E-06   0.1080E-06   0.9213E-07
  1.3493     0.1143E-06   0.1467E-06   0.1685E-06   0.1158E-06   0.1096E-06
  1.3776     0.1199E-06   0.1533E-06   0.1609E-06   0.1387E-06   0.1120E-06
  1.4064     0.1213E-06   0.1516E-06   0.1613E-06   0.1475E-06   0.1108E-06
  1.4358     0.1387E-06   0.1582E-06   0.1714E-06   0.1526E-06   0.1081E-06
  1.4658     0.1455E-06   0.1518E-06   0.1659E-06   0.1742E-06   0.1248E-06
  1.4965     0.1610E-06   0.1557E-06   0.1575E-06   0.1848E-06   0.1399E-06
  1.5278     0.1781E-06   0.1441E-06   0.1600E-06   0.2031E-06   0.1470E-06
  1.5597     0.1855E-06   0.1540E-06   0.1681E-06   0.2069E-06   0.1489E-06
  1.5923     0.1925E-06   0.1572E-06   0.1687E-06   0.2314E-06   0.1728E-06
  1.6257     0.1994E-06   0.1631E-06   0.1620E-06   0.2480E-06   0.1899E-06
  1.6596     0.2094E-06   0.1858E-06   0.1588E-06   0.2435E-06   0.2075E-06
  1.6944     0.1935E-06   0.1920E-06   0.1699E-06   0.2694E-06   0.2126E-06
  1.7298     0.1937E-06   0.2167E-06   0.1811E-06   0.2763E-06   0.2577E-06
  1.7660     0.1945E-06   0.2402E-06   0.1976E-06   0.2656E-06   0.2628E-06
  1.8029     0.2077E-06   0.2457E-06   0.2256E-06   0.2791E-06   0.2780E-06
  1.8406     0.2213E-06   0.2602E-06   0.2450E-06   0.2905E-06   0.2999E-06
  1.8791     0.2339E-06   0.2664E-06   0.2805E-06   0.2694E-06   0.3144E-06
  1.9184     0.2533E-06   0.2720E-06   0.2815E-06   0.2628E-06   0.3418E-06
  1.9585     0.2846E-06   0.2582E-06   0.3216E-06   0.2760E-06   0.3413E-06
  1.9995     0.2955E-06   0.2667E-06   0.3242E-06   0.2848E-06   0.3553E-06
  2.0413     0.3067E-06   0.2603E-06   0.3599E-06   0.2581E-06   0.3830E-06
  2.0840     0.3109E-06   0.2908E-06   0.3732E-06   0.2641E-06   0.3688E-06
  2.1276     0.3106E-06   0.2909E-06   0.3713E-06   0.2661E-06   0.3672E-06
  2.1721     0.3116E-06   0.3080E-06   0.3504E-06   0.2843E-06   0.3876E-06
  2.2175     0.3203E-06   0.3430E-06   0.3698E-06   0.3252E-06   0.3856E-06
  2.2639     0.3402E-06   0.3749E-06   0.3436E-06   0.3383E-06   0.3602E-06
  2.3039     0.3631E-06   0.4012E-06   0.3616E-06   0.3466E-06   0.3687E-06
  2.3371     0.3690E-06   0.4005E-06   0.3395E-06   0.3620E-06   0.3686E-06
  2.3709     0.4052E-06   0.4087E-06   0.3685E-06   0.4028E-06   0.3541E-06
  2.4051     0.4281E-06   0.4265E-06   0.3585E-06   0.4164E-06   0.3823E-06
  2.4398     0.4333E-06   0.3976E-06   0.3674E-06   0.4413E-06   0.3623E-06
  2.4750     0.4269E-06   0.4033E-06   0.3899E-06   0.4798E-06   0.4099E-06
  2.5107     0.4401E-06   0.4207E-06   0.3872E-06   0.4970E-06   0.3639E-06
  2.5470     0.4351E-06   0.3968E-06   0.4374E-06   0.5207E-06   0.3899E-06
  2.5837     0.4466E-06   0.4204E-06   0.4391E-06   0.5643E-06   0.4123E-06
  2.6210     0.4315E-06   0.4562E-06   0.5032E-06   0.5709E-06   0.4124E-06
  2.6589     0.4355E-06   0.4607E-06   0.5076E-06   0.5775E-06   0.4670E-06
  2.6972     0.4769E-06   0.4917E-06   0.5560E-06   0.5711E-06   0.4709E-06
  2.7362     0.5012E-06   0.5392E-06   0.5742E-06   0.6202E-06   0.4973E-06
  2.7757     0.5444E-06   0.5719E-06   0.5969E-06   0.5949E-06   0.5398E-06
  2.8157     0.5838E-06   0.5648E-06   0.6208E-06   0.5836E-06   0.5651E-06
  2.8564     0.5892E-06   0.5816E-06   0.6237E-06   0.6156E-06   0.6063E-06
  2.8976     0.5830E-06   0.5903E-06   0.6390E-06   0.5988E-06   0.6353E-06
  2.9394     0.5739E-06   0.6043E-06   0.6316E-06   0.5990E-06   0.6744E-06
  2.9818     0.5673E-06   0.5856E-06   0.6377E-06   0.5895E-06   0.7163E-06
  3.0249     0.5721E-06   0.5646E-06   0.6307E-06   0.5640E-06   0.7658E-06
  3.0685     0.5890E-06   0.6020E-06   0.6241E-06   0.6111E-06   0.7741E-06
  3.1128     0.6244E-06   0.6436E-06   0.6490E-06   0.5820E-06   0.7963E-06
  3.1577     0.6619E-06   0.6845E-06   0.6145E-06   0.6393E-06   0.7860E-06
  3.2033     0.7162E-06   0.7221E-06   0.6538E-06   0.6454E-06   0.8472E-06
  3.2495     0.7463E-06   0.7426E-06   0.6540E-06   0.6649E-06   0.8221E-06
  3.2964     0.7667E-06   0.7596E-06   0.7024E-06   0.7328E-06   0.7987E-06
  3.3440     0.7653E-06   0.7716E-06   0.7555E-06   0.7413E-06   0.8501E-06
  3.3923     0.7515E-06   0.7908E-06   0.8115E-06   0.8298E-06   0.8547E-06
  3.4412     0.7413E-06   0.7797E-06   0.8969E-06   0.8461E-06   0.8156E-06
  3.4909     0.7531E-06   0.7849E-06   0.8749E-06   0.9402E-06   0.8159E-06
  3.5413     0.7928E-06   0.8047E-06   0.9382E-06   0.9427E-06   0.7740E-06
  3.5924     0.8555E-06   0.8429E-06   0.9627E-06   0.1034E-05   0.8431E-06
  3.6443     0.9300E-06   0.8962E-06   0.9754E-06   0.1010E-05   0.8032E-06
  3.6968     0.9836E-06   0.9551E-06   0.9889E-06   0.1090E-05   0.8606E-06
  3.7502     0.9809E-06   0.1009E-05   0.9454E-06   0.1040E-05   0.8903E-06
  3.8043     0.9557E-06   0.1037E-05   0.9466E-06   0.1089E-05   0.9010E-06
  3.8592     0.9319E-06   0.1041E-05   0.9820E-06   0.1017E-05   0.1003E-05
  3.9149     0.9587E-06   0.1030E-05   0.9471E-06   0.1057E-05   0.1011E-05
  3.9714     0.1066E-05   0.1023E-05   0.1015E-05   0.9966E-06   0.1142E-05
