

------------------------------------------------------------------------
 DATE:  FEB 26,  131
   0, 26/02/13 14:31:47, 14:31:47, -39.421000,  -71.941000, 2830                 
 Background Villarrica-13                                                        
------------------------------------------------------------------------

========================================
  NU star= 0.64  Rmin=0.08 Rmax=4.00
========================================

  IT     G(Rel)        Gamma       Itest   Icnt  Neg  IN      Q1 (Q1est)      Eps Sq
----------------------------------------------------------------------------------------
  1     0.00E+00     0.00E+00     0 ( 0)     2    3    0    1.20E+04 ( 5)    8.25E-02
  1     1.00E-03     3.22E-01     0 ( 0)     2    2    5    4.53E-01 ( 5)    9.28E-06
  1     2.00E-03     6.45E-01     0 ( 0)     2    2    5    1.46E+00 ( 5)    2.99E-05
  1     4.00E-03     1.29E+00     0 ( 0)     2    1    3    4.04E+00 ( 5)    8.28E-05
  1     8.00E-03     2.58E+00     0 ( 0)     2    1    3    9.01E+00 ( 5)    1.85E-04
  1     1.60E-02     5.16E+00     0 ( 0)     2    1    2    1.59E+01 ( 5)    3.28E-04
  1     3.20E-02     1.03E+01     0 ( 0)     2    0    2    2.28E+01 ( 5)    4.74E-04
  1     6.40E-02     2.06E+01     1 ( 0)     2    0    2    2.84E+01 ( 5)    5.94E-04
  1     1.28E-01     4.13E+01     2 ( 0)     2    0    3    3.25E+01 ( 5)    6.91E-04
  1     2.56E-01     8.25E+01     3 ( 0)     2    1    3    3.61E+01 ( 5)    7.82E-04
  1     5.12E-01     1.65E+02     3 ( 0)     2    1    3    4.00E+01 ( 5)    8.79E-04
  1     1.02E+00     3.30E+02     3 ( 0)     2    2    3    4.38E+01 ( 5)    9.73E-04
  1     2.05E+00     6.60E+02     3 ( 0)     2    2    3    4.69E+01 ( 5)    1.05E-03
  1     4.10E+00     1.32E+03     3 ( 0)     2    2    2    4.89E+01 ( 5)    1.09E-03
  1     3.20E-02     1.03E+01   -10 ( 0)     2    0    2    2.28E+01 ( 5)    4.74E-04
----------------------------------------------------------------------------------------
  2     0.00E+00     0.00E+00     0 ( 0)     0    4    0    1.10E+04 ( 5)    9.59E-02
  2     1.00E-03     1.85E-04     0 ( 0)     0    4    5    2.75E-06 ( 5)    3.66E-11
  2     2.00E-03     3.70E-04     0 ( 0)     0    4    5    1.10E-05 ( 5)    1.46E-10
  2     4.00E-03     7.39E-04     0 ( 0)     0    4    5    4.38E-05 ( 5)    5.83E-10
  2     8.00E-03     1.48E-03     0 ( 0)     0    4    5    1.74E-04 ( 5)    2.32E-09
  2     1.60E-02     2.96E-03     0 ( 0)     0    4    5    6.88E-04 ( 5)    9.16E-09
  2     3.20E-02     5.92E-03     0 ( 0)     0    4    5    2.69E-03 ( 5)    3.58E-08
  2     6.40E-02     1.18E-02     0 ( 0)     0    3    5    1.03E-02 ( 5)    1.37E-07
  2     1.28E-01     2.37E-02     0 ( 0)     0    3    5    3.75E-02 ( 5)    5.02E-07
  2     2.56E-01     4.73E-02     0 ( 0)     0    3    5    1.27E-01 ( 5)    1.71E-06
  2     5.12E-01     9.47E-02     0 ( 0)     0    3    5    3.79E-01 ( 5)    5.14E-06
  2     1.02E+00     1.89E-01     0 ( 0)     0    1    5    9.43E-01 ( 5)    1.31E-05
  2     2.05E+00     3.79E-01     0 ( 0)     0    0    4    1.92E+00 ( 5)    2.77E-05
  2     4.10E+00     7.57E-01     1 ( 0)     0    0    4    3.36E+00 ( 5)    5.17E-05
  2     4.10E+00     7.57E-01   -10 ( 1)     0    0    4    3.36E+00 ( 5)    5.17E-05
