   1
VALUES OF MIE FACTORS FOR INDEX OF REFRACTION = 1.25 -0.0000I
   1.380          0.14650          0.14650          0.06661
   1.390          0.14945          0.14945          0.06607
   1.400          0.15241          0.15241          0.06547
   1.410          0.15539          0.15539          0.06481
   1.420          0.15839          0.15839          0.06409
   1.430          0.16141          0.16141          0.06332
   1.440          0.16445          0.16445          0.06248
   1.450          0.16750          0.16750          0.06160
   1.460          0.17058          0.17058          0.06065
   1.470          0.17368          0.17368          0.05965
   1.480          0.17680          0.17680          0.05860
   1.490          0.17993          0.17993          0.05751
   1.500          0.18309          0.18309          0.05636
   1.510          0.18627          0.18627          0.05516
   1.520          0.18947          0.18947          0.05392
   1.530          0.19269          0.19269          0.05264
   1.540          0.19594          0.19594          0.05132
   1.550          0.19921          0.19921          0.04997
   1.560          0.20250          0.20250          0.04857
   1.570          0.20581          0.20581          0.04715
   1.580          0.20915          0.20915          0.04570
   1.590          0.21252          0.21252          0.04423
   1.600          0.21591          0.21591          0.04273
   1.610          0.21933          0.21933          0.04121
   1.620          0.22278          0.22278          0.03968
   1.630          0.22626          0.22626          0.03814
   1.640          0.22978          0.22978          0.03659
   1.650          0.23332          0.23332          0.03504
   1.660          0.23690          0.23690          0.03348
   1.670          0.24051          0.24051          0.03193
   1.680          0.24415          0.24415          0.03039
   1.690          0.24784          0.24784          0.02886
   1.700          0.25156          0.25156          0.02735
   1.710          0.25532          0.25532          0.02586
   1.720          0.25913          0.25913          0.02440
   1.730          0.26297          0.26297          0.02296
   1.740          0.26686          0.26686          0.02156
   1.750          0.27080          0.27080          0.02019
   1.760          0.27478          0.27478          0.01887
   1.770          0.27881          0.27881          0.01760
   1.780          0.28289          0.28289          0.01638
   1.790          0.28702          0.28702          0.01521
   1.800          0.29120          0.29120          0.01410
   1.810          0.29543          0.29543          0.01306
   1.820          0.29972          0.29972          0.01208
   1.830          0.30407          0.30407          0.01118
   1.840          0.30847          0.30847          0.01036
   1.850          0.31293          0.31293          0.00961
   1.860          0.31745          0.31745          0.00895
   1.870          0.32203          0.32203          0.00837
   1.880          0.32667          0.32667          0.00789
   1.890          0.33137          0.33137          0.00750
   1.900          0.33613          0.33613          0.00720
   1.910          0.34095          0.34095          0.00701
   1.920          0.34584          0.34584          0.00692
   1.930          0.35079          0.35079          0.00693
   1.940          0.35581          0.35581          0.00705
   1.950          0.36089          0.36089          0.00728
   1.960          0.36603          0.36603          0.00762
   1.970          0.37124          0.37124          0.00808
   1.980          0.37651          0.37651          0.00864
   1.990          0.38184          0.38184          0.00933
   2.000          0.38724          0.38724          0.01012
   2.020          0.39821          0.39821          0.01206
   2.040          0.40943          0.40943          0.01447
   2.060          0.42089          0.42089          0.01733
   2.080          0.43257          0.43257          0.02063
   2.100          0.44445          0.44445          0.02436
   2.120          0.45653          0.45653          0.02850
   2.140          0.46879          0.46879          0.03302
   2.160          0.48121          0.48121          0.03789
   2.180          0.49378          0.49378          0.04307
   2.200          0.50646          0.50646          0.04852
   2.220          0.51925          0.51925          0.05421
   2.240          0.53211          0.53211          0.06007
   2.260          0.54503          0.54503          0.06606
   2.280          0.55799          0.55799          0.07213
   2.300          0.57097          0.57097          0.07822
   2.320          0.58394          0.58394          0.08428
   2.340          0.59689          0.59689          0.09024
   2.360          0.60981          0.60981          0.09606
   2.380          0.62268          0.62268          0.10168
   2.400          0.63549          0.63549          0.10704
   2.420          0.64822          0.64822          0.11210
   2.440          0.66087          0.66087          0.11680
   2.460          0.67344          0.67344          0.12110
   2.480          0.68593          0.68593          0.12495
   2.500          0.69833          0.69833          0.12832
   2.520          0.71064          0.71064          0.13118
   2.540          0.72288          0.72288          0.13349
   2.560          0.73506          0.73506          0.13524
   2.580          0.74717          0.74717          0.13641
   2.600          0.75924          0.75924          0.13698
   2.620          0.77128          0.77128          0.13696
   2.640          0.78330          0.78330          0.13634
   2.660          0.79532          0.79532          0.13512
   2.680          0.80737          0.80737          0.13333
   2.700          0.81945          0.81945          0.13099
   2.720          0.83159          0.83159          0.12811
   2.740          0.84381          0.84381          0.12473
   2.760          0.85612          0.85612          0.12088
   2.780          0.86856          0.86856          0.11662
   2.800          0.88112          0.88112          0.11199
   2.820          0.89384          0.89384          0.10703
   2.840          0.90672          0.90672          0.10182
   2.860          0.91978          0.91978          0.09641
   2.880          0.93304          0.93304          0.09087
   2.900          0.94649          0.94649          0.08527
   2.920          0.96016          0.96016          0.07967
   2.940          0.97403          0.97403          0.07415
   2.960          0.98812          0.98812          0.06878
   2.980          1.00242          1.00242          0.06364
   3.000          1.01693          1.01693          0.05878
   3.020          1.03164          1.03164          0.05429
   3.040          1.04655          1.04655          0.05023
   3.060          1.06163          1.06163          0.04666
   3.080          1.07688          1.07688          0.04364
   3.100          1.09229          1.09229          0.04122
   3.120          1.10782          1.10782          0.03944
   3.140          1.12347          1.12347          0.03835
   3.160          1.13920          1.13920          0.03797
   3.180          1.15501          1.15501          0.03833
   3.200          1.17087          1.17087          0.03945
   3.220          1.18675          1.18675          0.04132
   3.240          1.20263          1.20263          0.04395
   3.260          1.21851          1.21851          0.04732
   3.280          1.23434          1.23434          0.05142
   3.300          1.25013          1.25013          0.05622
   3.320          1.26585          1.26585          0.06167
   3.340          1.28149          1.28149          0.06773
   3.360          1.29704          1.29704          0.07436
   3.380          1.31249          1.31249          0.08149
   3.400          1.32784          1.32784          0.08906
   3.420          1.34308          1.34308          0.09700
   3.440          1.35821          1.35821          0.10523
   3.460          1.37323          1.37323          0.11368
   3.480          1.38816          1.38816          0.12226
   3.500          1.40298          1.40298          0.13089
   3.520          1.41773          1.41773          0.13949
   3.540          1.43239          1.43239          0.14797
   3.560          1.44700          1.44700          0.15624
   3.580          1.46155          1.46155          0.16422
   3.600          1.47608          1.47608          0.17184
   3.620          1.49059          1.49059          0.17900
   3.640          1.50510          1.50510          0.18564
   3.660          1.51962          1.51962          0.19168
   3.680          1.53418          1.53418          0.19707
   3.700          1.54880          1.54880          0.20173
   3.720          1.56347          1.56347          0.20562
   3.740          1.57823          1.57823          0.20869
   3.760          1.59309          1.59309          0.21092
   3.780          1.60805          1.60805          0.21226
   3.800          1.62313          1.62313          0.21271
   3.820          1.63833          1.63833          0.21226
   3.840          1.65366          1.65366          0.21092
   3.860          1.66912          1.66912          0.20869
   3.880          1.68471          1.68471          0.20560
   3.900          1.70043          1.70043          0.20170
   3.920          1.71627          1.71627          0.19701
   3.940          1.73223          1.73223          0.19161
   3.960          1.74828          1.74828          0.18556
   3.980          1.76442          1.76442          0.17893
   4.000          1.78064          1.78064          0.17181
   4.020          1.79691          1.79691          0.16427
   4.040          1.81322          1.81322          0.15643
   4.060          1.82954          1.82954          0.14837
   4.080          1.84586          1.84586          0.14021
   4.100          1.86215          1.86215          0.13203
   4.120          1.87840          1.87840          0.12395
   4.140          1.89458          1.89458          0.11607
   4.160          1.91068          1.91068          0.10848
   4.180          1.92668          1.92668          0.10129
   4.200          1.94256          1.94256          0.09458
   4.220          1.95832          1.95832          0.08845
   4.240          1.97394          1.97394          0.08295
   4.260          1.98941          1.98941          0.07817
   4.280          2.00475          2.00475          0.07417
   4.300          2.01993          2.01993          0.07100
   4.320          2.03497          2.03497          0.06870
   4.340          2.04987          2.04987          0.06730
   4.360          2.06464          2.06464          0.06682
   4.380          2.07929          2.07929          0.06728
   4.400          2.09383          2.09383          0.06868
   4.420          2.10828          2.10828          0.07101
   4.440          2.12265          2.12265          0.07425
   4.460          2.13697          2.13697          0.07837
   4.480          2.15125          2.15125          0.08333
   4.500          2.16551          2.16551          0.08908
   4.520          2.17978          2.17978          0.09558
   4.540          2.19406          2.19406          0.10274
   4.560          2.20839          2.20839          0.11050
   4.580          2.22278          2.22278          0.11878
   4.600          2.23724          2.23724          0.12748
   4.620          2.25179          2.25179          0.13652
   4.640          2.26645          2.26645          0.14579
   4.660          2.28122          2.28122          0.15519
   4.680          2.29611          2.29611          0.16460
   4.700          2.31113          2.31113          0.17393
   4.720          2.32628          2.32628          0.18306
   4.740          2.34155          2.34155          0.19187
   4.760          2.35695          2.35695          0.20027
   4.780          2.37246          2.37246          0.20815
   4.800          2.38807          2.38807          0.21540
   4.820          2.40376          2.40376          0.22194
   4.840          2.41952          2.41952          0.22768
   4.860          2.43532          2.43532          0.23255
   4.880          2.45115          2.45115          0.23649
   4.900          2.46697          2.46697          0.23943
   4.920          2.48276          2.48276          0.24135
   4.940          2.49848          2.49848          0.24222
   4.960          2.51412          2.51412          0.24202
   4.980          2.52964          2.52964          0.24077
   5.000          2.54501          2.54501          0.23847
   5.020          2.56021          2.56021          0.23516
   5.040          2.57521          2.57521          0.23089
   5.060          2.58999          2.58999          0.22570
   5.080          2.60454          2.60454          0.21966
   5.100          2.61883          2.61883          0.21286
   5.120          2.63287          2.63287          0.20538
   5.140          2.64663          2.64663          0.19731
   5.160          2.66013          2.66013          0.18875
   5.180          2.67335          2.67335          0.17980
   5.200          2.68632          2.68632          0.17056
   5.220          2.69903          2.69903          0.16116
   5.240          2.71150          2.71150          0.15168
   5.260          2.72376          2.72376          0.14224
   5.280          2.73582          2.73582          0.13294
   5.300          2.74771          2.74771          0.12388
   5.320          2.75945          2.75945          0.11516
   5.340          2.77108          2.77108          0.10688
   5.360          2.78262          2.78262          0.09911
   5.380          2.79411          2.79411          0.09194
   5.400          2.80558          2.80558          0.08545
   5.420          2.81705          2.81705          0.07970
   5.440          2.82856          2.82856          0.07474
   5.460          2.84015          2.84015          0.07063
   5.480          2.85183          2.85183          0.06740
   5.500          2.86363          2.86363          0.06509
   5.520          2.87557          2.87557          0.06372
   5.540          2.88767          2.88767          0.06329
   5.560          2.89995          2.89995          0.06380
   5.580          2.91242          2.91242          0.06525
   5.600          2.92508          2.92508          0.06760
   5.620          2.93794          2.93794          0.07081
   5.640          2.95098          2.95098          0.07485
   5.660          2.96421          2.96421          0.07965
   5.680          2.97761          2.97761          0.08513
   5.700          2.99115          2.99115          0.09123
   5.720          3.00483          3.00483          0.09785
   5.740          3.01860          3.01860          0.10490
   5.760          3.03243          3.03243          0.11227
   5.780          3.04629          3.04629          0.11986
   5.800          3.06015          3.06015          0.12756
   5.820          3.07395          3.07395          0.13525
   5.840          3.08767          3.08767          0.14283
   5.860          3.10124          3.10124          0.15019
   5.880          3.11464          3.11464          0.15723
   5.900          3.12782          3.12782          0.16385
   5.920          3.14075          3.14075          0.16996
   5.940          3.15338          3.15338          0.17548
   5.960          3.16569          3.16569          0.18035
   5.980          3.17765          3.17765          0.18449
   6.000          3.18923          3.18923          0.18786
   6.020          3.20043          3.20043          0.19043
   6.040          3.21123          3.21123          0.19216
   6.060          3.22164          3.22164          0.19304
   6.080          3.23164          3.23164          0.19306
   6.100          3.24126          3.24126          0.19222
   6.120          3.25050          3.25050          0.19054
   6.140          3.25938          3.25938          0.18805
   6.160          3.26794          3.26794          0.18476
   6.180          3.27620          3.27620          0.18071
   6.200          3.28419          3.28419          0.17596
   6.220          3.29196          3.29196          0.17054
   6.240          3.29953          3.29953          0.16451
   6.260          3.30696          3.30696          0.15794
   6.280          3.31429          3.31429          0.15088
   6.300          3.32155          3.32155          0.14342
   6.320          3.32880          3.32880          0.13561
   6.340          3.33607          3.33607          0.12754
   6.360          3.34341          3.34341          0.11929
   6.380          3.35084          3.35084          0.11094
   6.400          3.35842          3.35842          0.10257
   6.420          3.36616          3.36616          0.09428
   6.440          3.37409          3.37409          0.08614
   6.460          3.38224          3.38224          0.07825
   6.480          3.39062          3.39062          0.07069
   6.500          3.39925          3.39925          0.06353
   6.520          3.40812          3.40812          0.05687
   6.540          3.41723          3.41723          0.05076
   6.560          3.42658          3.42658          0.04527
   6.580          3.43615          3.43615          0.04046
   6.600          3.44592          3.44592          0.03637
   6.620          3.45585          3.45585          0.03305
   6.640          3.46592          3.46592          0.03050
   6.660          3.47609          3.47609          0.02875
   6.680          3.48631          3.48631          0.02779
   6.700          3.49654          3.49654          0.02761
   6.720          3.50672          3.50672          0.02817
   6.740          3.51680          3.51680          0.02945
   6.760          3.52673          3.52673          0.03139
   6.780          3.53646          3.53646          0.03393
   6.800          3.54594          3.54594          0.03701
   6.820          3.55512          3.55512          0.04055
   6.840          3.56396          3.56396          0.04447
   6.860          3.57243          3.57243          0.04870
   6.880          3.58049          3.58049          0.05315
   6.900          3.58811          3.58811          0.05774
   6.920          3.59528          3.59528          0.06239
   6.940          3.60199          3.60199          0.06704
   6.960          3.60824          3.60824          0.07161
   6.980          3.61403          3.61403          0.07603
   7.000          3.61936          3.61936          0.08024
   7.020          3.62427          3.62427          0.08419
   7.040          3.62877          3.62877          0.08783
   7.060          3.63289          3.63289          0.09111
   7.080          3.63667          3.63667          0.09399
   7.100          3.64015          3.64015          0.09644
   7.120          3.64337          3.64337          0.09843
   7.140          3.64638          3.64638          0.09994
   7.160          3.64922          3.64922          0.10093
   7.180          3.65194          3.65194          0.10139
   7.200          3.65460          3.65460          0.10131
   7.220          3.65723          3.65723          0.10068
   7.240          3.65989          3.65989          0.09949
   7.260          3.66262          3.66262          0.09774
   7.280          3.66547          3.66547          0.09544
   7.300          3.66846          3.66846          0.09260
   7.320          3.67164          3.67164          0.08924
   7.340          3.67504          3.67504          0.08540
   7.360          3.67867          3.67867          0.08110
   7.380          3.68256          3.68256          0.07639
   7.400          3.68672          3.68672          0.07132
   7.420          3.69114          3.69114          0.06595
   7.440          3.69582          3.69582          0.06036
   7.460          3.70076          3.70076          0.05462
   7.480          3.70593          3.70593          0.04880
   7.500          3.71130          3.71130          0.04300
   7.520          3.71684          3.71684          0.03729
   7.540          3.72251          3.72251          0.03177
   7.560          3.72826          3.72826          0.02652
   7.580          3.73404          3.73404          0.02161
   7.600          3.73980          3.73980          0.01713
   7.620          3.74547          3.74547          0.01312
   7.640          3.75100          3.75100          0.00965
   7.660          3.75633          3.75633          0.00675
   7.680          3.76141          3.76141          0.00444
   7.700          3.76618          3.76618          0.00274
   7.720          3.77059          3.77059          0.00165
   7.740          3.77460          3.77460          0.00115
   7.760          3.77818          3.77818          0.00121
   7.780          3.78130          3.78130          0.00181
   7.800          3.78394          3.78394          0.00288
   7.820          3.78608          3.78608          0.00439
   7.840          3.78773          3.78773          0.00628
   7.860          3.78888          3.78888          0.00849
   7.880          3.78956          3.78956          0.01095
   7.900          3.78979          3.78979          0.01362
   7.920          3.78958          3.78958          0.01643
   7.940          3.78898          3.78898          0.01934
   7.960          3.78803          3.78803          0.02229
   7.980          3.78677          3.78677          0.02524
   8.000          3.78524          3.78524          0.02815
   8.020          3.78351          3.78351          0.03097
   8.040          3.78161          3.78161          0.03369
   8.060          3.77961          3.77961          0.03625
   8.080          3.77757          3.77757          0.03864
   8.100          3.77552          3.77552          0.04082
   8.120          3.77353          3.77353          0.04276
   8.140          3.77165          3.77165          0.04445
   8.160          3.76991          3.76991          0.04584
   8.180          3.76837          3.76837          0.04692
   8.200          3.76706          3.76706          0.04765
   8.220          3.76601          3.76601          0.04802
   8.240          3.76525          3.76525          0.04800
   8.260          3.76479          3.76479          0.04758
   8.280          3.76465          3.76465          0.04674
   8.300          3.76483          3.76483          0.04548
   8.320          3.76532          3.76532          0.04381
   8.340          3.76611          3.76611          0.04174
   8.360          3.76717          3.76717          0.03929
   8.380          3.76846          3.76846          0.03649
   8.400          3.76996          3.76996          0.03340
   8.420          3.77160          3.77160          0.03007
